{'gpu': '0', 'ep': 1000, 'bth': 1024, 'maxlen': 20, 'odim': 2, 'pad': 1, 'ker': 2, 'std': 1, 'mpker': 2, 'gruhd': 256, 'gruly': 2, 'grudp': 0.2, 'lr': 0.001, 'dsod': 32, 'save': 'example'}
Train epoch : 0 	 [46289] Loss: nan 	 Accuracy : 0.6569849% 	 Time (s) : 0:02:29 
Train epoch : 360 	 [46289] Loss: nan 	 Accuracy : 25.6950684% 	 Time (s) : 0:02:08 
Train epoch : 365 	 [46289] Loss: nan 	 Accuracy : 25.8653603% 	 Time (s) : 0:02:08 
Train epoch : 370 	 [46289] Loss: nan 	 Accuracy : 26.0000267% 	 Time (s) : 0:02:08 
Train epoch : 375 	 [46289] Loss: nan 	 Accuracy : 26.1261425% 	 Time (s) : 0:02:04 
Train epoch : 380 	 [46289] Loss: nan 	 Accuracy : 26.4594517% 	 Time (s) : 0:02:00 
Train epoch : 385 	 [46289] Loss: nan 	 Accuracy : 26.4570847% 	 Time (s) : 0:02:00 
Train epoch : 390 	 [46289] Loss: nan 	 Accuracy : 26.3455067% 	 Time (s) : 0:02:02 
Train epoch : 395 	 [46289] Loss: nan 	 Accuracy : 26.6710453% 	 Time (s) : 0:02:02 
Train epoch : 400 	 [46289] Loss: nan 	 Accuracy : 26.7359409% 	 Time (s) : 0:02:02 
Train epoch : 405 	 [46289] Loss: nan 	 Accuracy : 26.9268265% 	 Time (s) : 0:02:07 
Train epoch : 410 	 [46289] Loss: nan 	 Accuracy : 27.0652065% 	 Time (s) : 0:02:04 
Train epoch : 415 	 [46289] Loss: nan 	 Accuracy : 27.1392212% 	 Time (s) : 0:02:00 
Train epoch : 420 	 [46289] Loss: nan 	 Accuracy : 27.3524437% 	 Time (s) : 0:02:00 
Train epoch : 425 	 [46289] Loss: nan 	 Accuracy : 27.3986874% 	 Time (s) : 0:02:01 
Train epoch : 430 	 [46289] Loss: nan 	 Accuracy : 27.5339737% 	 Time (s) : 0:02:00 
Train epoch : 435 	 [46289] Loss: nan 	 Accuracy : 27.4780388% 	 Time (s) : 0:02:03 
Train epoch : 440 	 [46289] Loss: nan 	 Accuracy : 27.7792740% 	 Time (s) : 0:02:04 
Train epoch : 445 	 [46289] Loss: nan 	 Accuracy : 27.8971748% 	 Time (s) : 0:02:03 
Train epoch : 450 	 [46289] Loss: nan 	 Accuracy : 27.9368496% 	 Time (s) : 0:02:01 
Train epoch : 455 	 [46289] Loss: nan 	 Accuracy : 27.9500427% 	 Time (s) : 0:02:00 
Train epoch : 460 	 [46289] Loss: nan 	 Accuracy : 28.2299709% 	 Time (s) : 0:02:00 
Train epoch : 465 	 [46289] Loss: nan 	 Accuracy : 28.1954517% 	 Time (s) : 0:02:01 
Train epoch : 470 	 [46289] Loss: nan 	 Accuracy : 28.0815163% 	 Time (s) : 0:02:01 
Train epoch : 475 	 [46289] Loss: nan 	 Accuracy : 28.5708561% 	 Time (s) : 0:02:02 
Train epoch : 480 	 [46289] Loss: nan 	 Accuracy : 28.5679226% 	 Time (s) : 0:02:04 
Train epoch : 485 	 [46289] Loss: nan 	 Accuracy : 28.3713017% 	 Time (s) : 0:02:04 
Train epoch : 490 	 [46289] Loss: nan 	 Accuracy : 28.6674671% 	 Time (s) : 0:02:01 
Train epoch : 495 	 [46289] Loss: nan 	 Accuracy : 28.9097061% 	 Time (s) : 0:02:03 
Train epoch : 500 	 [46289] Loss: nan 	 Accuracy : 26.6546021% 	 Time (s) : 0:02:02 
Train epoch : 505 	 [46289] Loss: nan 	 Accuracy : 28.4956875% 	 Time (s) : 0:01:59 
Train epoch : 510 	 [46289] Loss: nan 	 Accuracy : 28.8597870% 	 Time (s) : 0:02:02 
Train epoch : 515 	 [46289] Loss: nan 	 Accuracy : 28.9476166% 	 Time (s) : 0:02:01 
Train epoch : 520 	 [46289] Loss: nan 	 Accuracy : 29.1345139% 	 Time (s) : 0:02:01 
Train epoch : 525 	 [46289] Loss: nan 	 Accuracy : 29.1791496% 	 Time (s) : 0:02:00 
Train epoch : 530 	 [46289] Loss: nan 	 Accuracy : 29.4805908% 	 Time (s) : 0:02:00 
Train epoch : 535 	 [46289] Loss: nan 	 Accuracy : 29.3584175% 	 Time (s) : 0:02:00 
Train epoch : 540 	 [46289] Loss: nan 	 Accuracy : 29.6354694% 	 Time (s) : 0:02:00 
Train epoch : 545 	 [46289] Loss: nan 	 Accuracy : 29.5952072% 	 Time (s) : 0:02:00 
Train epoch : 550 	 [46289] Loss: nan 	 Accuracy : 29.7667923% 	 Time (s) : 0:02:02 
Train epoch : 555 	 [46289] Loss: nan 	 Accuracy : 29.8534603% 	 Time (s) : 0:02:03 
Train epoch : 560 	 [46289] Loss: nan 	 Accuracy : 29.7435360% 	 Time (s) : 0:02:02 
Train epoch : 565 	 [46289] Loss: nan 	 Accuracy : 29.9899693% 	 Time (s) : 0:02:00 
Train epoch : 570 	 [46289] Loss: nan 	 Accuracy : 29.7861404% 	 Time (s) : 0:02:00 
Train epoch : 575 	 [46289] Loss: nan 	 Accuracy : 29.9823532% 	 Time (s) : 0:01:59 
Train epoch : 580 	 [46289] Loss: nan 	 Accuracy : 30.0764065% 	 Time (s) : 0:01:58 
